"All weapons are sorted by slot, and then alphanumeric. ",,,,,,,
Recommendations are in order of importance.,,,,,,,
Order is as follows:,"mkb,controller,pve",,,,,,
The Forward Path,Kinetic,"Hitmark IS, Cleanshot IS, Red Dot Micro","Tactical Mag, Appended Mag, Extended Mag","Fourth Time's the Charm, Feeding Frenzy, Grave Robber","Swashbuckler, Multikill Clip",Reload,"mkb,controller,pve"
,,"Red Dot Micro, Rifle Scope ST, Rifle Scope SSF","Accurized Rounds, Tactical Mag","Dynamic Sway Reduction, Feeding Frenzy","Tap the Trigger, Eye of the Storm, Iron Grip",Stability or Handling,"controller,pvp"
,,"Red Dot Micro, Rifle Scope ST, Rifle Scope SSF","Accurized Rounds, Tactical Mag","Dynamic Sway Reduction, Feeding Frenzy","Tap the Trigger, Eye of the Storm, Iron Grip",Handling,"mkb,pvp"
,,,,,,,
The Last Breath,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Subsistence, Demolitionist","Frenzy, One for All, Adrenaline Junkie",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Ricochet Rounds, High-Caliber Rounds","Dynamic Sway Reduction, Demolitionist, Slideshot","Rangefinder, Adrenaline Junkie",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Dynamic Sway Reduction, Demolitionist, Slideshot","Rangefinder, Adrenaline Junkie",Handling,"mkb,pvp"
,,,,,,,
Tigerspite,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Subsistence, Overflow, Outlaw, Ambitious Assassin","Frenzy, Demolitionist, Kill Clip, Swashbuckler",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Ricochet Rounds, High-Caliber Rounds","Overflow, Surplus, Threat Detector","Rangefinder, Kill Clip, Demolitionist",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Overflow, Surplus, Threat Detector","Rangefinder, Kill Clip, Demolitionist",Handling,"mkb,pvp"
,,,,,,,
Age-Old Bond,Void,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, High-Caliber Rounds, Extended Mag","Triple Tap, Dynamic Sway Reduction","Kill Clip, Dragonfly, Ambitious Assassin",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","High-Caliber Rounds, Ricochet Rounds","Tap the Trigger, Dynamic Sway Reduction",Kill Clip,Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Tap the Trigger, Dynamic Sway Reduction",Kill Clip,Handling,"mkb,pvp"
,,,,,,,
Arc Logic,Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Overflow, Feeding Frenzy","Frenzy, Rampage, Demolitionist, Adrenaline Junkie",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag","Heating Up, Tunnel Vision, Overflow","Demolitionist, Elemental Capacitor",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Heating Up, Tunnel Vision, Overflow","Demolitionist, Elemental Capacitor",Handling,"mkb,pvp"
,,,,,,,
Arctic Haze,Solar,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Outlaw, Triple Tap","Dragonfly, Vorpal Weapon, Unrelenting, Thresh",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag","Killing Wind, Outlaw","Eye of the Storm, Elemental Capacitor",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Killing Wind, Outlaw","Eye of the Storm, Elemental Capacitor",Handling,"mkb,pvp"
,,,,,,,
Chrysura Melo,Solar,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Fourth Time's the Charm, Outlaw","Frenzy, Harmony, Demolitionist, Multikill Clip",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag","Dynamic Sway Reduction, Heating Up","Multikill Clip, Demolitionist, Harmony",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Dynamic Sway Reduction, Heating Up","Multikill Clip, Demolitionist, Harmony",Handling,"mkb,pvp"
,,,,,,,
Gnawing Hunger,Void,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Field Prep, Auto-Loading Holster","Rampage, Swashbuckler, Demolitionist",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag",Tap the Trigger,"Kill Clip, Multikill Clip",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag",Tap the Trigger,"Kill Clip, Multikill Clip",Handling,"mkb,pvp"
,,,,,,,
Reckless Oracle,Void,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, High-Caliber Rounds, Extended Mag","Outlaw, Auto-Loading Holster","Kill Clip, Swashbuckler, Demolitionist, Triple Tap",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Ricochet Rounds, High-Caliber Rounds","Outlaw, Under Pressure","Kill Clip, Demolitionist, Swashbuckler",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Outlaw, Under Pressure","Kill Clip, Demolitionist, Swashbuckler",Handling,"mkb,pvp"
,,,,,,,
Shadow Price,Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Fourth Time's the Charm, Overflow, Feeding Frenzy","One for All, Disruption Break, Unrelenting, Thresh",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Appended Mag","Killing Wind, Overflow, Surplus","Swashbuckler, Disruption Break",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Appended Mag","Killing Wind, Overflow, Surplus","Swashbuckler, Disruption Break",Handling,"mkb,pvp"
,,,,,,,
Shadow Price(Adept),Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Fourth Time's the Charm, Overflow, Feeding Frenzy","One for All, Disruption Break, Unrelenting, Thresh",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Appended Mag","Killing Wind, Overflow, Surplus","Swashbuckler, Disruption Break",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Appended Mag","Killing Wind, Overflow, Surplus","Swashbuckler, Disruption Break",Handling,"mkb,pvp"
,,,,,,,
Sorrow's Verse,Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Subsistence, Feeding Frenzy, Outlaw","Frenzy, One for All, Demolitionist, Harmony, Rampage",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","Accurized Rounds, Tactical Mag","Tap the Trigger, Dynamic Sway Reduction, Heating Up","Multikill Clip, Snapshot Sights, Demolitionist, Harmony",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Tap the Trigger, Dynamic Sway Reduction, Heating Up","Multikill Clip, Snapshot Sights, Demolitionist, Harmony",Handling,"mkb,pvp"
,,,,,,,
The Number,Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Field Prep, Surplus","One for All, Multikill Clip, Unrelenting, Wellspring",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","High-Caliber Rounds, Ricochet Rounds","Killing Wind, Surplus",Multikill Clip,Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Killing Wind, Surplus",Multikill Clip,Handling,"mkb,pvp"
,,,,,,,
The Summoner,Solar,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Overflow, Dynamic Sway Reduction","Rampage, Dragonfly",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","High-Caliber Rounds, Ricochet Rounds","Moving Target, Dynamic Sway Reduction, Overflow","Rangefinder, Celerity, Elemental Capacitor",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Moving Target, Dynamic Sway Reduction, Overflow","Rangefinder, Celerity, Elemental Capacitor",Handling,"mkb,pvp"
,,,,,,,
The Summoner (Adept),Solar,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Armor-Piercing Rounds, Appended Mag, Extended Mag","Overflow, Dynamic Sway Reduction","Rampage, Dragonfly",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Smallbore","High-Caliber Rounds, Ricochet Rounds","Moving Target, Dynamic Sway Reduction, Overflow","Rangefinder, Celerity, Elemental Capacitor",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Moving Target, Dynamic Sway Reduction, Overflow","Rangefinder, Celerity, Elemental Capacitor",Handling,"mkb,pvp""All weapons are sorted by slot, and then alphanumeric. ",,,,,,,
Recommendations are in order of importance.,,,,,,,
Order is as follows:,"mkb,controller,pve",,,,,,
,"controller,pvp",,,,,,
Intro,"mkb,pvp",,,,,,
,,,,,,,
Name,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Tags
Accrued Redemption,Kinetic,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching",Archer's Tempo,"Explosive Head, Rampage, Rapid Hit",Draw Time,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Quickdraw","Explosive Head, Moving Target",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Quickdraw","Explosive Head, Moving Target",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Biting Winds,Kinetic,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Rapid Hit, Surplus","Explosive Head, Swashbuckler, Sympathetic Arsenal",Draw Time,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Moving Target, Rapid Hit, Killing Wind","Explosive Head, Snapshot Sights, Swashbuckler",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Moving Target, Rapid Hit, Killing Wind","Explosive Head, Snapshot Sights, Swashbuckler",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Whispering Slab,Kinetic,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching",Archer's Tempo,"Vorpal Weapon, Demolitionist, Sympathetic Arsenal",Draw Time,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Firmly Planted","Opening Shot, Demolitionist",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Firmly Planted","Opening Shot, Demolitionist",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Arsenic Bite-4b,Arc,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Dragonfly, Rampage","Explosive Head, Archer's Tempo",Reload,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Moving Target, Snapshot Sights","Archer's Tempo, Explosive Head",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Moving Target, Snapshot Sights","Archer's Tempo, Explosive Head",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Imperial Needle,Void,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Impulse Amplifier","Frenzy, Swashbuckler, Sympathetic Arsenal",Draw Time,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Killing Wind","Opening Shot, Wellspring",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Killing Wind","Opening Shot, Wellspring",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Point of the Stag,Arc,Elastic String,Natural Fletching,"Archer's Tempo, No Distractions","Vorpal Weapon, Eye of the Storm",Draw Time,"mkb,controller,pve"
,,Elastic String,Natural Fletching,"No Distractions, Archer's Tempo","Eye of the Storm, Vorpal Weapon",Draw Time or Accuracy,"controller,pvp"
,,Elastic String,Natural Fletching,"No Distractions, Archer's Tempo","Eye of the Storm, Vorpal Weapon",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Tyranny of Heaven,Solar,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching",Archer's Tempo,"Explosive Head, Rampage",Draw Time,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Moving Target, Archer's Tempo","Snapshot Sights, Explosive Head",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Moving Target, Archer's Tempo","Snapshot Sights, Explosive Head",Draw Time or Accuracy,"mkb,pvp"
,,,,,,,
Wolftone Draw,Arc,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching","Archer's Tempo, Impulse Amplifier, Shoot to Loot","Frenzy, Dragonfly, Demolitionist",Draw Time,"mkb,controller,pve"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching",Archer's Tempo ,"Demolitionist, Harmony",Draw Time or Accuracy,"controller,pvp"
,,"Elastic String, Flexible String, Polymer String","Fiberglass Arrow Shaft, Straight Fletching",Archer's Tempo,"Demolitionist, Harmony",Draw Time or Accuracy,"mkb,pvp""All weapons are sorted by slot, and then alphanumeric. ",,,,,,,
Recommendations are in order of importance.,,,,,,,
Order is as follows:,"mkb,controller,pve",,,,,,
,"controller,pvp",,,,,,
Intro,"mkb,pvp",,,,,,
,,,,,,,
Name,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Tags
Cartesian Coordinate,Solar,"Hitmark IS, Cleanshot IS, Red Dot Micro","Accelerated Coils, Liquid Coils, Enhanced Battery","Feeding Frenzy, Lead from Gold, Grave Robber","Vorpal Weapon, High-Impact Reserves, Swashbuckler",Reload,"mkb,controller,pve"
,,"Red Dot Micro, Red Dot 2 MOA","Accelerated Coils, Particle Repeater, Projection Fuse","Under Pressure, Slideways","High-Impact Reserves, Snapshot Sights",Stability or Handling,"controller,pvp"
,,"Red Dot Micro, Red Dot 2 MOA","Accelerated Coils, Particle Repeater, Projection Fuse","Under Pressure, Slideways","High-Impact Reserves, Snapshot Sights",Handling or Stability,"mkb,pvp"
,,,,,,,
Coriolis Force,Void,"Fluted Barrel, Corkscrew Rifling","Liquid Coils, Enhanced Battery, Ionized Battery","Feeding Frenzy, Ambitious Assassin","Thresh, Unrelenting, One for All",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Under Pressure, Moving Target, Killing Wind","Rangefinder, Eye of the Storm",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Under Pressure, Moving Target, Killing Wind","Rangefinder, Eye of the Storm",Handling or Stability,"mkb,pvp"
,,,,,,,
Dream Breaker,Solar,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Liquid Coils, Enhanced Battery, Ionized Battery","Lead from Gold, Heating Up","Frenzy, High-Impact Reserves, Surrounded",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Firmly Planted, Under Pressure, Heating Up","Eye of the Storm, High-Impact Reserves, Kickstart",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Firmly Planted, Under Pressure, Heating Up","Eye of the Storm, High-Impact Reserves, Kickstart",Handling or Stability,"mkb,pvp"
,,,,,,,
Exile's Curse,Arc,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Accelerated Coils, Enhanced Battery","Slideshot, Pulse Monitor","Vorpal Weapon, High-Impact Reserves",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Slideshot, Killing Wind, Pulse Monitor","High-Impact Reserves, Vorpal Weapon",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Slideshot, Killing Wind, Pulse Monitor","High-Impact Reserves, Vorpal Weapon",Handling or Stability,"mkb,pvp"
,,,,,,,
Exile's Curse (Adept),Arc,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Accelerated Coils, Enhanced Battery","Slideshot, Pulse Monitor","Vorpal Weapon, High-Impact Reserves",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Slideshot, Killing Wind, Pulse Monitor","High-Impact Reserves, Vorpal Weapon",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Slideshot, Killing Wind, Pulse Monitor","High-Impact Reserves, Vorpal Weapon",Handling or Stability,"mkb,pvp"
,,,,,,,
Glacioclasm,Void,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Accelerated Coils, Enhanced Battery","Subsistence, Surplus, Slideshot","Reservoir Burst, Swashbuckler, Demolitionist",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Under Pressure, Surplus, Slideshot","High-Impact Reserves, Demolitionist, Swashbuckler",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Under Pressure, Surplus, Slideshot","High-Impact Reserves, Demolitionist, Swashbuckler",Handling or Stability,"mkb,pvp"
,,,,,,,
Hollow Words,Arc,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Liquid Coils, Enhanced Battery, Ionized Battery","Feeding Frenzy, Lead from Gold","Vorpal Weapon, Disruption Break, Unrelenting",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Under Pressure, Slideways, Killing Wind","Disruption Break, Vorpal Weapon",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Under Pressure, Slideways, Killing Wind","Disruption Break, Vorpal Weapon",Handling or Stability,"mkb,pvp"
,,,,,,,
Iota Draconis,Solar,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Accelerated Coils, Enhanced Battery","Feeding Frenzy, Lead from Gold, Surplus","Frenzy, Harmony, Adagio",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Under Pressure, Heating Up, Surplus","High-Impact Reserves, Harmony",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Particle Repeater, Projection Fuse","Under Pressure, Heating Up, Surplus","High-Impact Reserves, Harmony",Handling or Stability,"mkb,pvp"
,,,,,,,
Main Ingredient,Arc,"Hitmark IS, Clean Shot IS, Red Dot Micro","Enhanced Battery, Liquid Coils, Accelerated Coils",Auto-Loading Holster,"Rampage, High Impact Reserves, Kill Clip",Reload,"mkb,controller,pve"
,,"Red Dot Micro, Red Dot 2 MOA","Particle Repeater, Projection Fuse","Under Pressure, Firmly Planted, Moving Target","High-Impact Reserves, Rangefinder, Tap the Trigger",Stability or Handling,"controller,pvp"
,,"Red Dot Micro, Red Dot 2 MOA","Particle Repeater, Projection Fuse","Under Pressure, Firmly Planted, Moving Target","High-Impact Reserves, Rangefinder, Tap the Trigger",Handling or Stability,"mkb,pvp"
,,,,,,,
Null Composure,Void,Fluted Barrel,Projection Fuse,"Feeding Frenzy, Heating Up","Reservoir Burst, High-Impact Reserves",Range,"mkb,controller,pve"
,,Fluted Barrel,Projection Fuse,"Heating Up, Feeding Frenzy","High-Impact Reserves, Reservoir Burst",Range,"controller,pvp"
,,Fluted Barrel,Projection Fuse,"Heating Up, Feeding Frenzy","High-Impact Reserves, Reservoir Burst",Range,"mkb,pvp"
,,,,,,,
PLUG ONE.1,Arc,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Liquid Coils, Enhanced Battery, Ionized Battery","Feeding Frenzy, Bottomless Grief","Reservoir Burst, Adrenaline Junkie, Cornered",Reload,"mkb,controller,pve"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Under Pressure, Heating Up, Killing Wind","Kickstart, Adrenaline Junkie",Stability or Handling,"controller,pvp"
,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Accelerated Coils, Projection Fuse","Under Pressure, Heating Up, Killing Wind","Kickstart, Adrenaline Junkie",Handling or Stability,"mkb,pvp"
,,,,,,,
PLUG ONE.1 (Adept),Arc,"Arrowhead Brake, Fluted Barrel, Corkscrew Rifling","Liquid Coils, Enhanced Battery, Ionized Battery","Feeding Frenzy, Bottomless Grief","Reservoir Burst, Adrenaline Junkie, Cornered",Reload,"mkb,controller,pve"
