"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
The Fool's Remedy,Sidearm,SUROS Rapid-Fire,Solar,"Quickdot SAS, Control SAS, Shortspec SAS","Ricochet Rounds, Appended Mag, Flared Magwell","Feeding Frenzy, Subsistence, Fourth Time's the Charm","Kill Clip, Quickdraw",Reload,"PvE,Controller"
,,,,"Control SAS, Quickdot SAS, Tactic SAS","Ricochet Rounds, High-Caliber Rounds, Flared Magwell","Moving Target, Hip-Fire Grip, Pulse Monitor","Rangefinder, Quickdraw, Eye of the Storm",Stability,"PvP,Controller"
,,,,,,,,,
,,,,,,,,,
Engram Weapons,,,,,,,,,
Nature of the Beast,Hand Cannon,Precision,Arc,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Appended Mag, Alloy Magazine, Extended Mag","Quickdraw, Subsistence","Demolitionist, Dragonfly, Vorpal Weapon",Reload,"PvE,Controller"
,,,,"Steadyhand HCS, Fastdraw HCS, Hitmark HCS","Accurized Rounds, Flared Magwell, Steady Rounds","Quickdraw, Snapshot Sights","Rangefinder, Vorpal Weapon, Demolitionist",Range,"PvP,Controller"
,,,,,,,,,
Truthteller,Grenade Launcher,Lightweight,Void,"Quick Launch, Smart Drift Control, Linear Compensator",Spike Grenades,"Field Prep, Feeding Frenzy, Auto-Loading Holster","Swashbuckler, Demolitionist, Disruption Break",Reload,"PvE,Controller"
,,,,"Quick Launch, Smart Drift Control, Linear Compensator","Spike Grenades, Proximity Grenades, High-Velocity Rounds","Auto-Loading Holster, Field Prep","Disruption Break, Demolitionist, Quickdraw",Handling,"PvP,Controller"
,,,,,,,,,
,,,,,,,,,
Season Pass,,,,,,,,,
Cold Denial,Pulse Rifle,High-Impact,Kinetic,"Fluted Barrel, Polygonal Rifling, Smallbore","Appended Mag, Flared Magwell, Ricochet Rounds","Feeding Frenzy, Killing Wind","Swashbuckler, Multikill Clip, Sympathetic Arsenal",Reload,"PvE,Controller"
,,,,"Arrowhead Brake, Chambered Compensator, Smallbore","Ricochet Rounds, High-Caliber Rounds, Flared Magwell","Killing Wind, Zen Moment, Feeding Frenzy","Unrelenting, Eye of the Storm, Swashbuckler",Stability,"PvP,Controller"
,,,,,,,,,
Falling Guillotine,Sword,Vortex Frame,Void,"Jagged Edge, Honed Edge, Tempered Edge","Heavy Guard, Burst Guard, Enduring Guard","Relentless Strikes, Tireless Blade","Surrounded, Whirlwind Blade",Impact,"PvE,Controller"
,,,,"Jagged Edge, Honed Edge, Tempered Edge","Heavy Guard, Burst Guard, Enduring Guard","Tireless Blade, Relentless Strikes","En Garde, Counterattack",Impact,"PvP,Controller"
