"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
,,,,"Smallbore, Fluted Barrel, Polygonal Rifling","Particle Repeater, Liquid Coils, Projection Fuse","Demolitionist, Auto-Loading Holster","Tap the Trigger, Rangefinder, Swashbuckler",Stability,"PvP,MnK"
,,,,,,,,,
Martyr's Retribution,Grenade Launcher,Lightweight,Solar,"Quick Launch, Smart Drift Control, Countermass","High-Velocity Rounds, Implosion Rounds","Field Prep, Auto-Loading Holster","Demolitionist, Lead from Gold",Reload,"PvE,MnK"
,,,,"Confined Launch, Linear Compensator, Volatile Launch","High-Velocity Rounds, Implosion Rounds","Auto-Loading Holster, Grave Robber, Field Prep","Demolitionist, Rangefinder",Velocity,"PvP,MnK"
,,,,,,,,,
Line in the Sand,Fusion Rifle,Precision,Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Liquid Coils, Enhanced Battery","Rapid Hit, Genesis","Firing Line, Clown Cartridge, Backup Plan, Dragonfly",Reload,"PvE,MnK"
,,,,"Hammer-Forged Rifling, Smallbore, Fluted Barrel","Accelerated Coils, Projection Fuse","Moving Target, Rangefinder, Rapid Hit","Backup Plan, Rampage, Auto-Loading Holster",Charge Time | Impact,"PvP,MnK"
,,,,,,,,,
,,,,,,,,,
Season Pass / Event,,,,,,,,,
Cold Front,Submachine Gun,Aggressive,Kinetic,"Fluted Barrel, Hammer-Forged Rifling, Extended Barrel","Tactical Mag, Extended Mag, Appended Mag","Feeding Frenzy, Auto-Loading Holster","Kill Clip, Vorpal Weapon, Osmosis",Reload,"PvE,MnK"
,The Dawning,,,"Full Bore, Extended Barrel, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag, Flared Magwell","Feeding Frenzy, Underdog","Kill Clip, Rangefinder, Vorpal Weapon",Range,"PvP,MnK"
,,,,,,,,,
Trophy Hunter,Sniper Rifle,Aggressive,Void,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Extended Mag, Appended Mag","Triple Tap, Lead from Gold","Vorpal Weapon, Dragonfly, Disruption Break",Reload,"PvE,MnK"
,,,,Fluted Barrel,"Accurized Rounds, Tactical Mag",Pulse Monitor,Snapshot Sights,Handling,"PvP,MnK"
,,,,,,,,,
Point of the Stag,Combat Bow,Precision,Arc,Elastic String,Natural Fletching,"Archer’s Tempo, No Distractions","Vorpal Weapon, Eye of the Storm",Draw Time,"PvE,MnK"
,,,,Elastic String,Natural Fletching,"Archer’s Tempo, No Distractions","Eye of the Storm, Vorpal Weapon",Draw Time,"PvP,MnK"
,,,,,,,,,
Pyrochrastic Flow,Rocket Launcher,Precision,Solar,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Alloy Casing","Quickdraw, Ambitious Assassin","Cluster Bomb, Auto-Loading Holster",Reload,"PvE,MnK"
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Black Powder,Quickdraw,Cluster Bomb,Blast Radius,"PvP,MnK"
