"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Biting Winds,Combat Bow,Precision,Kinetic,"Elastic String, Flexible String, Polymer String","Compact Arrow Shaft, Fiberglass Arrow Shaft, Straight Fletching","Rapid Hit, Quickdraw, Killing Wind","Explosive Head, Swashbuckler, Sympathetic Arsenal",Draw Time,PvE
,,,,"Elastic String, Flexible String","Fiberglass Arrow Shaft, Straight Fletching","Rapid Hit, Moving Target, Quickdraw, Killing Wind","Swashbuckler, Explosive Head",Draw Time,PvP
,,,,,,,,,
Coriolis Force,Fusion Rifle,Aggressive,Void,"Smallbore, Fluted Barrel","Ionized Battery, Liquid Coils, Enhanced Battery","Feeding Frenzy, Killing Wind","Thresh, Slideways",Reload,PvE
,,,,"Fluted Barrel, Smallbore","Projection Fuse, Liquid Coils","Moving Target, Killing Wind, Under Pressure","Rangefinder, Eye of the Storm, Thresh",Range or Stability,PvP
,,,,,,,,,
Thermal Erosion,Machine Gun,Rapid-Fire,Solar,"Arrowhead Brake, Smallbore, Corkscrew Rifling","High-Caliber Rounds, Appended Mag, Extended Mag","Field Prep, Quickdraw, Hip-Fire Grip","Demolitionist, Wellspring, Dragonfly",Reload,PvE
,,,,"Arrowhead Brake, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds, Light Mag","Quickdraw, Killing Wind, Zen Moment","Dynamic Sway Reduction, Tap the Trigger, Demolitionist",Range,PvP
,,,,,,,,,
,,,,,,,,,
Quests,,,,,,,,,
Friction Fire,Submachine Gun,Precision,Kinetic,"Fluted Barrel, Hammer-Forged Rifling, Extended Barrel","Tactical Mag, Appended Mag, Extended Mag","Threat Detector, Subsistence, Field Prep","Rampage, Vorpal Weapon, Sympathetic Arsenal",Reload or Handling,PvE
,,,,"Hammer-Forged Rifling, Smallbore, Fluted Barrel","Accurized Rounds, Tactical Mag","Killing Wind, Threat Detector","Wellspring, Vorpal Weapon",Range,PvP
,,,,,,,,,
Deafening Whisper,Grenade Launcher,Wave,Void,"Quick Launch, Smart Drift Control, Linear Compensator",High-Velocity Rounds,"Lead from Gold, Ambitious Assassin","Auto-Loading Holster, Wellspring, Rampage",Reload,PvE
,,,,"Quick Launch, Smart Drift Control, Linear Compensator",High-Velocity Rounds,"Killing Wind, Surplus",Auto-Loading Holster,Velocity,PvP
,,,,,,,,,
Corsair's Wrath,Linear Fusion Rifle,Precision,Solar,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Enhanced Battery, Liquid Coils, Ionized Battery","Outlaw, Firmly Planted","High-Impact Reserves, Demolitionist, Thresh",Reload,PvE
,,,,"Full Bore, Hammer-Forged Rifling, Extended Barrel","Accelerated Coils, Projection Fuse","Moving Target, Killing Wind, Firmly Planted","Quickdraw, Demolitionist, Thresh",Charge Time,PvP
,,,,,,,,,
,,,,,,,,,
Factions,,,,,,,,,
Adored,Sniper Rifle,Adaptive,Arc,Hammer-Forged Rifling,Accurized Rounds,"Triple Tap, Killing Wind","Vorpal Weapon, Snapshot Sights",Stability,PvE
,,,,Hammer-Forged Rifling,Accurized Rounds,"Killing Wind, Triple Tap","Snapshot Sights, Vorpal Weapon",Stability,PvP
,,,,,,,,,
Stars in Shadow,Pulse Rifle,High-Impact,Solar,"Arrowhead Brake, Fluted Barrel, Hammer-Forged Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Feeding Frenzy, Field Prep","Kill Clip, Disruption Break, Demolitionist",Reload,PvE
,,,,"Hammer-Forged Rifling, Extended Barrel, Smallbore","Accurized Rounds, Tactical Mag","Quickdraw, Firmly Planted, Outlaw","Kill Clip, Headseeker, Disruption Break",Range,PvP
,,,,,,,,,
Xenoclast IV,Shotgun,Lightweight,Arc,"Barrel Shroud, Smallbore, Corkscrew Rifling","Assault Mag, Tactical Mag, Appended Mag","Auto-Loading Holster, Field Prep, Grave Robber","Trench Barrel, Vorpal Weapon, One-Two Punch",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds","Surplus, Slideshot, Slideways","Killing Wind, Vorpal Weapon, Eye of the Storm",Handling,PvP
,,,,,,,,,
Crowd Pleaser,Grenade Launcher,Adaptive,Void,"Quick Launch, Linear Compensator, Countermass","Spike Grenades, Alloy Casing","Clown Cartridge, Field Prep","Chain Reaction, Demolitionist",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Proximity Grenades,"Killing Wind, Threat Detector","Quickdraw, Rampage, Demolitionist",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Season Pass,,,,,,,,,
Royal Chase,Scout Rifle,Precision,Void,"Fluted Barrel, Corkscrew Rifling, Smallbore","Tactical Mag, Appended Mag, Flared Magwell","Field Prep, Auto-Loading Holster","Multikill Clip, Dragonfly, Thresh",Reload,PvE
,,,,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag","No Distractions, Full Auto Trigger System","Quickdraw, Multikill Clip",Range,PvP
,,,,,,,,,
Blast Battue,Grenade Launcher,Adaptive,Arc,"Quick Launch, Linear Compensator, Countermass","Spike Grenades, Alloy Casing",Clown Cartridge,"Chain Reaction, Wellspring, Auto-Loading Holster",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Proximity Grenades,"Quickdraw, Killing Wind","Wellspring, Disruption Break, Rampage",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Iron Banner,,,,,,,,,
The Guiding Sight,Scout Rifle,High-Impact,Kinetic,"Cleanshot IS, Hitmark IS, Red Dot Micro","High-Caliber Rounds, Appended Mag, Extended Mag","Rapid Hit, Quickdraw",Vorpal Weapon,Reload,PvE
,,,,"Red Dot Micro, Red Dot 2 MOA, Cleanshot IS","High-Caliber Rounds, Ricochet Rounds","Quickdraw, Rapid Hit, Hip-Fire Grip",Vorpal Weapon,Handling,PvP
,,,,,,,,,
The Steady Hand,Hand Cannon,Aggressive,Kinetic,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Appended Mag, Extended Mag, Light Mag","Outlaw, Quickdraw","Swashbuckler, Wellspring",Reload,PvE
,,,,"Steadyhand HCS, Hitmark HCS, Truesight HCS","Ricochet Rounds, Light Mag","Quickdraw, Moving Target, Killing Wind","Swashbuckler, Mulligan, Wellspring",Range or Stability,PvP
,,,,,,,,,
,,,,,,,,,
Trials (Adept),,,,,,,,,
Astral Horizon (Adept),Shotgun,Aggressive,Kinetic,"Barrel Shroud, Corkscrew Rifling, Smallbore","Appended Mag, Assault Mag, Tactical Mag","Auto-Loading Holster, Slideshot, Field Prep","Swashbuckler, One-Two Punch, Elemental Capacitor",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds, Tactical Mag",Quickdraw,"Opening Shot, Celerity, Elemental Capacitor",Reload,PvP
,,,,,,,,,
Eye of Sol (Adept),Sniper Rifle,Adaptive,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Tactical Mag, Extended Mag","Outlaw, Field Prep, Firmly Planted","Vorpal Weapon, Box Breathing",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Smallbore","Tactical Mag, Accurized Rounds, Flared Magwell","Snapshot Sights, Firmly Planted","Opening Shot, Vorpal Weapon, Celerity, Box Breathing",Handling or Range,PvP
,,,,,,,,,
The Scholar (Adept),Scout Rifle,High-Impact,Kinetic,"Fluted Barrel, Smallbore, Corkscrew Rifling","High-Caliber Rounds, Appended Mag, Ricochet Rounds","Full Auto Trigger System, Quickdraw","Vorpal Weapon, Elemental Capacitor",Reload,PvE
,,,,"Polygonal Rifling, Smallbore, Corkscrew Rifling","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Opening Shot","Vorpal Weapon, Celerity, No Distractions, Elemental Capacitor",Stability or Handling,PvP
,,,,,,,,,
Exile's Curse (Adept),Fusion Rifle,High-Impact,Arc,"Fluted Barrel, Arrowhead Brake, Smallbore","Liquid Coils, Enhanced Battery, Ionized Battery","Field Prep, Grave Robber","Multikill Clip, Disruption Break, Feeding Frenzy, Elemental Capacitor",Reload,PvE
,,,,"Fluted Barrel, Polygonal Rifling, Smallbore","Particle Repeater, Liquid Coils","Firmly Planted, No Distractions","Elemental Capacitor, Celerity, Feeding Frenzy",Stability or Handling,PvP
,,,,,,,,,
The Summoner (Adept),Auto Rifle,Adaptive,Solar,"Fluted Barrel, Arrowhead Brake, Extended Barrel","High-Caliber Rounds, Appended Mag, Light Mag","Overflow, Moving Target","Rampage, Dragonfly, Elemental Capacitor",Reload,PvE
,,,,"Chambered Compensator, Polygonal Rifling, Smallbore","Ricochet Rounds, High-Caliber Rounds, Flared Magwell","Dynamic Sway Reduction, Moving Target, Overflow, Zen Moment","Elemental Capacitor, Rangefinder, Celerity",Stability or Handling,PvP
,,,,,,,,,
Tomorrow's Answer (Adept),Rocket Launcher,High-Impact,Void,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Black Powder, High-Velocity Rounds","Field Prep, Tracking Module","Cluster Bomb, Clown Cartridge, Disruption Break",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Impact Casing,"Tracking Module, Moving Target","Cluster Bomb, Snapshot Sights",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Deep Stone Crypt Raid,,,,,,,,,
Heritage,Shotgun,Precision(Slug),Kinetic,"Fluted Barrel, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Reconstruction, Auto-Loading Holster, Slideshot","Recombination, Thresh",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Assault Mag, Tactical Mag","Slideshot, Hip-Fire Grip, Outlaw","Snapshot Sights, Killing Wind, Moving Target",Handling,PvP
,,,,,,,,,
Succession,Sniper Rifle,Aggressive,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Tactical Mag, Extended Mag","Reconstruction, Lead from Gold","Vorpal Weapon, Recombination, Thresh",Reload,PvE
,,,,Fluted Barrel,"Accurized Rounds, Tactical Mag","Slideways, Killing Wind, Moving Target","Snapshot Sights, Vorpal Weapon",Handling,PvP
,,,,,,,,,
Posterity,Hand Cannon,Precision,Arc,"Fluted Barrel, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Rapid Hit, Feeding Frenzy, Reconstruction, Fourth Time's the Charm","Rampage, Demolitionist, One for All",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag","Surplus, Killing Wind, Rapid Hit","Opening Shot, Demolitionist",Range or Stability,PvP
,,,,,,,,,
Trustee,Scout Rifle,Rapid-Fire,Solar,"Fluted Barrel, Smallbore, Corkscrew Rifling","Tactical Mag, Appended Mag, Extended Mag","Reconstruction, Outlaw, Surplus","Wellspring, High-Impact Reserves",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag","Killing Wind, Surplus, Zen Moment","Eye of the Storm, Wellspring, Opening Shot",Range,PvP
,,,,,,,,,
Bequest,Sword,Adaptive,Arc,"Jagged Edge, Honed Edge, Tempered Edge","Swordmaster's Guard, Burst Guard","Relentless Strikes, Thresh, Tireless Blade","En Garde, Surrounded",Impact,PvE
,,,,"Jagged Edge, Honed Edge, Tempered Edge",Burst Guard,"Tireless Blade, Thresh",Assassin's Blade,Impact,PvP
,,,,,,,,,
Commemoration,Machine Gun,Adaptive,Void,"Fluted Barrel, Arrowhead Brake, Smallbore","Appended Mag, Tactical Mag, Extended Mag","Feeding Frenzy, Reconstruction, Surplus","Rampage, Dragonfly",Reload,PvE
,,,,"Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Dynamic Sway Reduction, Surplus","Eye of the Storm, Rampage",Range,PvP
,,,,,,,,,
,,,,,,,,,
Dawning,,,,,,,,,
Cold Front,Submachine Gun,Aggressive,Kinetic,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Tactical Mag, Appended Mag, Extended Mag","Surplus, Quickdraw","Rampage, One for All, Dragonfly",Reload,PvE
,,,,"Hammer-Forged Rifling, Extended Barrel, Smallbore","Accurized Rounds, Tactical Mag","Quickdraw, Dynamic Sway Reduction",Rampage,Range,PvP
,,,,,,,,,
Glacioclasm,Fusion Rifle,High-Impact,Void,"Fluted Barrel, Smallbore","Ionized Battery, Enhanced Battery, Liquid Coils","Surplus, Killing Wind, Field Prep","Swashbuckler, Demolitionist, High-Impact Reserves, Auto-Loading Holster",Reload,PvE
,,,,"Fluted Barrel, Arrowhead Brake, Hammer-Forged Rifling","Projection Fuse, Liquid Coils","Killing Wind, Slideshot, Surplus","High-Impact Reserves, Demolitionist, Swashbuckler",Range or Handling,PvP
,,,,,,,,,
Avalanche,Machine Gun,Adaptive,Solar,"SPO-57 Front, SLO-12 Post, Slo-21 Post","Appended Mag, High-Caliber Rounds, Extended Mag","Auto-Loading Holster, Outlaw, Grave Robber","Vorpal Weapon, Dragonfly, Swashbuckler",Reload,PvE
,,,,"SPO-57 Front, SPO-28 Front","High-Caliber Rounds, Ricochet Rounds, Light Mag","Killing Wind, Surplus","Tap the Trigger, Swashbuckler",Range,PvP
