,,,,,,
Seventh Seraph SI-2,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Extended Mag, Tactical Mag","Demolitionist, Full Auto Trigger System","Dragonfly, Vorpal Weapon, Surrounded",pve,Reload
Seventh Seraph SI-2,"Fluted Barrel, Extended Barrel, Chambered Compensator","Accurized Rounds, Tactical Mag, Steady Rounds","Demolitionist, Full Auto Trigger System, Threat Detector","Snapshot Sights, Elemental Capacitor, Vorpal Weapon",pvp,Range
,,,,,,
Seventh Seraph VY-7,"Fluted Barrel, Arrowhead Brake, Smallbore","Appended Mag, Extended Mag, Tactical Mag","Ambitious Assassin, Fourth Time’s the Charm, Firmly Planted","Feeding Frenzy, Vorpal Weapon, Dragonfly",pve,Reload
Seventh Seraph VY-7,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Accurized Rounds, Appended Mag, Tactical Mag","Firmly Planted, Pulse Monitor","Elemental Capacitor, Vorpal Weapon, Feeding Frenzy",pvp,Range or Handling
,,,,,,
Seventh Seraph Saw,"Fluted Barrel, Arrowhead Brake, Polygonal Rifling","Appended Mag, Armor-Piercing Rounds, Flared Magwell","Clown Cartridge, Field Prep, Auto-Loading Holster","Firing Line, Vorpal Weapon, Elemental Capacitor",pve,Reload
Seventh Seraph Saw,"Fluted Barrel, Arrowhead Brake, Smallbore","Ricochet Rounds, High-Caliber Rounds","Zen Moment, Auto-Loading Holster","Mulligan, Elemental Capacitor, Opening Shot",pvp,Handling
,,,,,,
,,,,,,
,,,,,,
Astral Horizon,"Barrel Shroud, Corkscrew Rifling, Smallbore","Appended Mag, Assault Mag, Tactical Mag","Auto-Loading Holster, Slideshot, Field Prep","Swashbuckler, One-Two Punch, Elemental Capacitor",pve,Reload
Astral Horizon,"Full Choke, Rifled Barrel","Assault Mag, Accurized Rounds, Tactical Mag",Quickdraw,"Opening Shot, Celerity, Elemental Capacitor",pvp,Reload
,,,,,,
Eye of Sol,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Tactical Mag, Extended Mag","Outlaw, Field Prep, Firmly Planted","Box Breathing, Vorpal Weapon",pve,Reload
Eye of Sol,"Fluted Barrel, Arrowhead Brake, Smallbore","Tactical Mag, Accurized Rounds, Flared Magwell","Snapshot Sights, Firmly Planted","Opening Shot, Box Breathing, Vorpal Weapon, Celerity",pvp,Handling or Range
,,,,,,
The Scholar,"Fluted Barrel, Smallbore, Corkscrew Rifling","High-Caliber Rounds, Appended Mag, Ricochet Rounds","Full Auto Trigger System, Quickdraw","Vorpal Weapon, Elemental Capacitor",pve,Reload
The Scholar,"Smallbore, Hammer-Forged Rifling, Corkscrew Rifling","High-Caliber Rounds, Ricochet Rounds","Quickdraw, Opening Shot","Vorpal Weapon, Celerity, No Distractions, Elemental Capacitor",pvp,Range or Handling
,,,,,,
Exile's Curse,"Fluted Barrel, Arrowhead Brake, Smallbore","Liquid Coils, Enhanced Battery, Ionized Battery","Field Prep, Grave Robber","Multikill Clip, Disruption Break, Feeding Frenzy, Elemental Capacitor",pve,Reload
Exile's Curse,"Fluted Barrel, Polygonal Rifling, Smallbore","Particle Repeater, Liquid Coils","Firmly Planted, No Distractions","Elemental Capacitor, Celerity, Feeding Frenzy",pvp,Stability or Handling
,,,,,,
The Summoner,"Fluted Barrel, Arrowhead Brake, Extended Barrel","High-Caliber Rounds, Appended Mag, Light Mag","Overflow, Moving Target","Rampage, Dragonfly, Elemental Capacitor",pve,Reload
The Summoner,"Extended Barrel, Smallbore, Arrowhead Brake","High-Caliber Rounds, Ricochet Rounds, Light Mag","Moving Target, Overflow, Zen Moment","Rangefinder, Celerity, Elemental Capacitor",pvp,Range or Handling
,,,,,,
Tomorrow's Answer,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Black Powder, High-Velocity Rounds","Field Prep, Tracking Module","Cluster Bomb, Clown Cartridge, Disruption Break",pve,Reload
Tomorrow's Answer,"Volatile Launch, Confined Launch, Linear Compensator",Impact Casing,"Tracking Module, Moving Target","Cluster Bomb, Snapshot Sights",pvp,Blast Radius
