"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Wrong Side of Right,Scout Rifle,High-Impact,Kinetic,"King Sight K1, Wolf Sight W1, Devil Scope D2","Appended Mag, Tactical Mag, Extended Mag","Outlaw, Full Auto Trigger System, Auto-Loading Holster","Rampage, Explosive Payload, Triple Tap",Reload,PvE
,,,,"Devil Scope D2, Dusk Scope D2, King Dot K2","Accurized Rounds, Steady Rounds, Tactical Mag","Moving Target, Opening Shot, Outlaw","Firmly Planted, Explosive Payload, Zen Moment",Stability,PvP
,,,,,,,,,
Death By Scorn,Sidearm,Aggressive,Void,Shortspec SAS,Ricochet Rounds,"Zen Moment, Headseeker",Full Auto Trigger System,Reload,PvE
,,,,Shortspec SAS,Ricochet Rounds,"Zen Moment, Headseeker",Full Auto Trigger System,Range,PvP
,,,,,,,,,
Right Side of Wrong,Pulse Rifle,Aggressive,Solar,"King Sight K1, Wolf Sight W1, Devil Scope D2","Appended Mag, Tactical Mag, Extended Mag","Outlaw, Zen Moment","Rampage, Kill Clip, High-Impact Reserves",Reload,PvE
,,,,"Devil Scope D2, Dusk Scope D2, King Dot K2","Accurized Rounds, Steady Rounds, Flared Magwell","Firmly Planted, Moving Target, Zen Moment","Rangefinder, Rampage, Full Auto Trigger System",Range,PvP
,,,,,,,,,
Thin Line,Hand Cannon,Aggressive,Void,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Appended Mag, Extended Mag, Flared Magwell","Triple Tap, Auto-Loading Holster","Outlaw, Dragonfly, Rampage",Reload,PvE
,,,,"Steadyhand HCS, Truesight HCS, Hitmark HCS","Ricochet Rounds, High-Caliber Rounds","Quickdraw, Moving Target, Slideshot","Opening Shot, Outlaw, Rampage",Handling,PvP
,,,,,,,,,
Terran Wind,Grenade Launcher,Rapid-Fire,Solar,Countermass,"Augmented Drum, Remote Detonation",Quickdraw,Rampage,Reload,PvE
,,,,Countermass,"Remote Detonation, Augmented Drum",Quickdraw,Rampage,Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Last Wish,,,,,,,,,
Chattering Bone,Pulse Rifle,Lightweight,Kinetic,"Fluted Barrel, Arrowhead Brake, Smallbore","Light Mag, Extended Mag","Outlaw, Full Auto Trigger System","Rampage, High-Impact Reserves",Reload,PvE
,,,,"Arrowhead Brake, Smallbore, Polygonal Rifling","High-Caliber Rounds, Ricochet Rounds","Rangefinder, Outlaw",Rampage,Stability,PvP
,,,,,,,,,
The Supremacy,Sniper Rifle,Rapid-Fire,Kinetic,"Fluted Barrel, Arrowhead Brake, Smallbore","Extended Mag, Appended Mag, Flared Magwell",Outlaw,"Triple Tap, Rapid Hit, Kill Clip",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Ricochet Rounds, Light Mag, High-Caliber Rounds",Snapshot Sights,"Rapid Hit, Kill Clip",Handling,PvP
,,,,,,,,,
Transfiguration,Scout Rifle,High-Impact,Kinetic,"Fluted Barrel, Smallbore","Tactical Mag, Extended Mag, Drop Mag","Rampage, Triple Tap","Kill Clip, Ambitious Assassin",Reload,PvE
,,,,"Chambered Compensator, Smallbore, Fluted Barrel","Accurized Rounds, Steady Rounds","Zen Moment, Rampage","Opening Shot, Moving Target, Kill Clip",Handling,PvP
,,,,,,,,,
Age-Old Bond,Auto Rifle,High-Impact,Void,"Fluted Barrel, Polygonal Rifling, Smallbore","Light Mag, Extended Mag","Triple Tap, Zen Moment","Dragonfly, Kill Clip, High-Impact Reserves",Reload,PvE
,,,,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","High-Caliber Rounds, Ricochet Rounds","Tap the Trigger, Dynamic Sway Reduction, Zen Moment",Kill Clip,Handling,PvP
,,,,,,,,,
Nation of Beasts,Hand Cannon,Adaptive,Arc,"Fluted Barrel, Corkscrew Rifling, Smallbore","Tactical Mag, Extended Mag",Outlaw,"Rampage, Kill Clip, Triple Tap",Reload,PvE
,,,,"Fluted Barrel, Smallbore","Steady Rounds, Tactical Mag","Opening Shot, Outlaw, Zen Moment","Explosive Payload, Kill Clip",Handling,PvP
,,,,,,,,,
Techeun Force,Fusion Rifle,Adaptive,Arc,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Enhanced Battery, Liquid Coils, Ionized Battery",Kill Clip,"Rampage, Backup Plan, High-Impact Reserves",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Extended Barrel","Particle Repeater, Projection Fuse, Liquid Coils",Snapshot Sights,Rangefinder,Handling,PvP
,,,,,,,,,
Tyranny of Heaven,Combat Bow,Lightweight,Solar,"Agile Bowstring, Polymer String, Natural String","Compact Arrow Shaft, Straight Fletching, Helical Fletching",Archer's Tempo,Rampage,Reload,PvE
,,,,"Elastic String, Flexible String, Polymer String","Straight Fletching, Helical Fletching","Archer's Tempo, Moving Target","Explosive Head, Snapshot Sights",Draw Time or Accuracy,PvP
,,,,,,,,,
Apex Predator,Rocket Launcher,Adaptive,Solar,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Alloy Casing",Tracking Module,"Auto-Loading Holster, Kill Clip",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Black Powder,Tracking Module,Snapshot Sights,Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Iron Banner,,,,,,,,,
Bite of the Fox,Sniper Rifle,Aggressive ,Kinetic,"Fluted Barrel, Smallbore","Appended Mag, Extended Mag, Tactical Mag",Rapid Hit,"Rampage, Ambitious Assassin, Field Prep",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Tactical Mag, Accurized Rounds","Snapshot Sights, Firmly Planted","Opening Shot, Moving Target, Explosive Payload",Handling,PvP
,,,,,,,,,
Talons of the Eagle,Scout Rifle,High-Impact,Kinetic,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Extended Mag, Tactical Mag","Outlaw, Full Auto Trigger System",Rampage,Reload,PvE
,,,,"Smallbore, Fluted Barrel, Polygonal Rifling","Steady Rounds, Accurized Rounds, Tactical Mag","Firmly Planted, Outlaw, Zen Moment","Explosive Payload, Moving Target, Opening Shot",Handling,PvP
,,,,,,,,,
Breath of the Dragon,Submachine Gun,Lightweight,Arc,"Fluted Barrel, Smallbore, Polygonal Rifling","Appended Mag, Flated Magwell, Light Mag","Zen Moment, Slideways, Grave Robber","Rampage, Kill Clip, High-Impact Reserves",Reload,PvE
,,,,"Smallbore, Corkscrew Rifling, Polygonal Rifling","High-Caliber Rounds, Ricochet Rounds","Moving Target, Snapshot Sights, Zen Moment","Tap the Trigger, Dynamic Sway Reduction, Kill Clip",Range,PvP
,,,,,,,,,
Claws of the Wolf,Pulse Rifle,Rapid-Fire,Void,"Arrowhead Brake, Chambered Compensator, Extended Barrel","Appended Mag, Extended Mag, Flared Magwell","Outlaw, Slideshot","Rampage, Kill Clip, High-Impact Reserves",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Extended Barrel","Ricochet Rounds, High-Caliber Rounds","Slideshot, Snapshot Sights, Outlaw","Rangefinder, Full Auto Trigger System, Kill Clip",Stability,PvP
,,,,,,,,,
Roar of the Bear,Rocket Launcher,High-Impact,Solar,"Quick Launch, Smart Drift Control, Hard Launch","Alloy Casing, High-Velocity Rounds","Field Prep, Tracking Module","Auto-Loading Holster, Kill Clip",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Black Powder,"Snapshot Sights, Tracking Module",Quickdraw,Blast Radius,PvP
,,,,,,,,,
Swarm of the Raven,Grenade Launcher,Rapid-Fire,Void,"Quick Launch, Smart Drift Control, Hard Launch","Spike Grenades, Alloy Casing","Field Prep, Auto-Loading Holster",Quickdraw,Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Proximity Grenades,Snapshot Sights,Quickdraw,Blast Radius,PvP
