"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Outlast,Pulse Rifle,Rapid-Fire,Solar,"Arrowhead Brake, Chambered Compensator, Extended Barrel","Tactical Mag, Appended Mag, Extended Mag","Feeding Frenzy, Outlaw, Full Auto Trigger System","Rampage, Kill Clip, Demolitionist",Reload,PvE
,,,,"Arrowhead Brake, Extended Barrel, Chambered Compensator","Accurized Rounds, Steady Rounds, Tactical Mag","Feeding Frenzy, Rangefinder, Full Auto Trigger System","Kill Clip, Demolitonist",Stability or Range,PvP
,,,,,,,,,
Sole Survivor,Sniper Rifle,Adaptive,Arc,"Chambered Compensator, Polygonal Rifling, Smallbore","Extended Mag, Appended Mag, Tactical Mag","Fourth Times the Charm, Triple Tap, Rapid Hit","Firing Line, Demolitionist, Auto-Loading Holster",Reload,PvE
,,,,"Fluted Barrel, Corkscrew Rifling","Ricochet Rounds, Flared Magwell, Light Mag",Snapshot Sights,"Opening Shot, Slideshot, Demolitionist",Handling,PvP
,,,,,,,,,
Doomsday,Grenade Launcher,Adaptive,Arc,"Quick Launch, Smart Drift Control, Hard Launch","Spike Grenades, Alloy Casing","Field Prep, Auto-Loading Holster","Full Court, Demolitionist",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Proximity Grenades,"Threat Detector, Snapshot Sights","Quickdraw, Demolitionist",Blast Radius,PvP
,,,,,,,,,
Just In Case,Sword,Adaptive,Solar,"Jagged Edge, Honed Edge, Tempered Blade","Burst Guard, Swordmaster's Guard, Balanced Guard","Relentless Strikes, Tireless Blade","Whirlwind Blade, Shattering Blade, En Garde",Impact,PvE
,,,,"Jagged Edge, Honed Edge, Tempered Blade","Burst Guard, Swordmaster's Guard, Balanced Guard",Tireless Blade,"Assassin's Blade, En Garde, Shattering Blade",Impact,PvP
,,,,,,,,,
,,,,,,,,,
Vanguard,,,,,,,,,
Service Revolver,Hand Cannon,Precision,Kinetic,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Appended Mag, Extended Mag","Rapid Hit, Outlaw, Triple Tap","Rampage, Kill Clip",Reload,PvE
,,,,"Fastdraw HCS, Steadyhand HCS, Truesight HCS","Accurized Rounds, Ricochet Rounds, High-Caliber Rounds","Rapid Hit, Rangefinder, Moving Target","Kill Clip, Zen Moment, Snapshot Sights, Opening Shot",Handling,PvP
,,,,,,,,,
,,,,,,,,,
Crucible,,,,,,,,,
Last Perdition,Pulse Rifle,Adaptive,Void,"SPO-57 Front, SPO-28 Front, SLO-21 Post","Tactical Mag, Appended Mag, Extended Mag",Outlaw,"Rampage, Kill Clip, High-Impact Reserves, Full Auto Trigger System",Reload,PvE
,,,,"SPO-57 Front, SPO-28 Front, SLO-21 Post","Steady Rounds, Accurized Rounds, Tactical Mag","Rangefinder, Moving Target, Outlaw, Firmly Planted","Kill Clip, Zen Moment, Snapshot",Range,PvP
,,,,,,,,,
,,,,,,,,,
Iron Banner,,,,,,,,,
Orewing's Maul,Grenade Launcher,Lightweight,Void,"Quick Launch, Smart Drift Control, Hard Launch",Spike Grenades,"Field Prep, Grave Robber, Pulse Monitor","Demolitionist, Auto-Loading Holster",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Spike Grenades,Quickdraw,"Auto-Loading Holster, Demolitionist",Velocity,PvP
,,,,,,,,,
The Wizened Rebuke,Fusion Rifle,High-Impact,Arc,"Red Dot Micro, Cleanshot IS, Hitmark IS","Enhanced Battery, Liquid Coils, Ionized Battery","Auto-Loading Holster, Threat Detector","Demolitionist, High-Impact Reserves, Backup Plan",Reload,PvE
,,,,"Red Dot Micro, Red Dot 2 MOA","Particle Repeater, Projection Fuse, Liquid Coils",Firmly Planted,"Tap the Trigger, Rangefinder, Demolitionist",Range,PvP
