"Note: Perks are displayed in order of importance. Rows are PvE on top, PvP below",,,,,,,,,
,,,,,,,,,
Has no fill - primary ammo,,,,,,,,,
Has green fill - special ammo,,,,,,,,,
Has purple fill - heavy ammo,,,,,,,,,
,,,,,,,,,
Name,Type,Archetype,Element,Sights/Barrels,Magazine,Perk 1,Perk 2,Masterwork,Activity
Love and Death,Grenade Launcher,Aggressive,Solar,"Quick Launch, Smart Drift Control, Hard Launch","Spike Grenades, Alloy Casing",Field Prep,"Full Court, Quickdraw",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Proximity Grenades,Moving Target,Quickdraw,Blast Radius,PvP
,,,,,,,,,
Night Terror,Sword,Adaptive,Arc,"Jagged Edge, Honed Edge, Tempered Blade","Burst Guard, Swordmaster's Guard, Balanced Guard","Relentless Strikes, Tireless Blade",Whirlwind Blade,Impact,PvE
,,,,"Jagged Edge, Honed Edge, Tempered Blade","Burst Guard, Swordmaster's Guard, Balanced Guard",Tireless Blade,"Assassin’s Blade, En Garde",Impact,PvP
,,,,,,,,,
,,,,,,,,,
Vex Offensive,,,,,,,,,
Imperative,Scout Rifle,High-Impact,Kinetic,"Fluted Barrel, Corkscrew Rifling, Polygonal Rifling","Tactical Mag, Appended Mag, Extended Mag","Outlaw, Triple Tap, Eye of the Storm","Multikill Clip, Rampage, Explosive Rounds",Reload,PvE
,,,,"Hammer-Forged Rifling, Fluted Barrel, Corkscrew Rifling","Accurized Rounds, Steady Rounds,Tactical Mag","No Distractions, Eye of the Storm, Outlaw","Opening Shot, Explosive Rounds, Rampage",Handling,PvP
,,,,,,,,,
Adhortative,Pulse Rifle,Adaptive,Solar,"Arrowhead Brake, Extended Barrel, Chambered Compensator","Appended Mag, Extended Mag","Feeding Frenzy, Underdog, Field Prep","Multikill Clip, Rampage, Dragonfly",Handling,PvE
,,,,"Arrowhead Brake, Extended Barrel, Chambered Compensator","High-Caliber Rounds, Ricochet Rounds, Light Mag","Firmly Planted, Feeding Frenzy","Rangefinder, Dragonfly",Range,PvP
,,,,,,,,,
Optative,Hand Cannon,Precision,Void,"Fluted Barrel, Corkscrew Rifling, Hammer-Forged Rifling","Tactical Mag, Extended Mag, Appended Mag","Rapid Hit, Outlaw, Fourth Time’s the Charm","Demolitionist, Kill Clip",Reload,PvE
,,,,"Fluted Barrel, Smallbore, Hammer-Forged Rifling","Steady Rounds, Tactical Mag","Rapid Hit, Outlaw","Kill Clip, Zen Moment Opening Shot",Handling,PvP
,,,,,,,,,
Subjunctive,Submachine Gun,Lightweight,Arc,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Extended Mag, Light Mag","Outlaw, Quickdraw","Surrounded, Swashbuckler, Rampage Multikill Clip",Reload,PvE
,,,,"Fluted Barrel, Polygonal Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Quickdraw, Outlaw, Pulse Monitor","Swashbuckler, Rampage",Stability,PvP
,,,,,,,,,
,,,,,,,,,
Garden of Salvation,,,,,,,,,
Accrued Redemption,Combat Bow,Precision,Kinetic,"Agile Bowstring, Polymer String, Natural String","Compact Arrow Shaft, Straight Fletching, Helical Fletching",Archer’s Tempo,"Rampage, Explosive Head, Rapid Hit",Reload,PvE
,,,,"Elastic String, Flexible String, Polymer String","Straight Fletching, Helical Fletching","Archer’s Tempo, Quickdraw","Explosive Head, Moving Target, Rapid Hit",Draw Time or Accuracy,PvP
,,,,,,,,,
Sacred Provenance,Pulse Rifle,Aggressive,Kinetic,"Fluted Barrel, Smallbore, Corkscrew Rifling","Extended Mag, Light Mag","Rapid Hit, Outlaw, Full Auto Trigger System","Kill Clip, Quickdraw",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling, Polygonal","High-Caliber Rounds, Ricochet Rounds","Rapid Hit, Outlaw","Quickdraw, Snapshot Sights, Kill Clip",Stability or Range,PvP
,,,,,,,,,
Ancient Gospel,Hand Cannon,Adaptive,Solar,"Fluted Barrel, Smallbore, Corkscrew Rifling","Tactical Mag, Extended Mag","Rapid Hit, Outlaw, Slideshot","Dragonfly, Swashbuckler, Kill Clip",Reload,PvE
,,,,"Fluted Barrel, Polygonal Rifling, Smallbore","Steady Rounds, Tactical Mag","Rapid Hit, Eye of the Storm, Outlaw","Rangefinder, Swashbuckler, Kill Clip",Handling,PvP
,,,,,,,,,
Omniscient Eye,Sniper Rfile,Rapid-Fire,Solar,"Fluted Barrel, Arrowhead Break, Smallbore","Tactical Mag, Appended Mag, Extended Mag",Outlaw,"Dragonfly, Multikill Clip, Rampage",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","Accurized Rounds, Tactical Mag","Mulligan, No Distractions, Outlaw",Snapshot Sights,Handling,PvP
,,,,,,,,,
Prophet of Doom,Shotgun,Precision,Arc,"Barrel Shroud, Corkscrew Rifling, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Feeding Frenzy, Full Auto Trigger System","One-Two Punch, Rampage",Reload,PvE
,,,,"Full Choke, Rifled Barrel","Assault Mag, Light Mag, Accurized Rounds","Feeding Frenzy, Slideways","Opening Shot, One-Two Punch, Rampage",Handling,PvP
,,,,,,,,,
Reckless Oracle,Auto Rifle,Rapid-Fire,Void,"Arrowhead Brake, Fluted Barrel, Polygonal Rifling","Extended Mag, Light Mag","Outlaw, Auto-Loading Holster","Swashbuckler, Demolitionist, Kill Clip",Reload,PvE
,,,,"Extended Barrel, Arrowhead Brake, Chambered Compensator","High-Caliber Rounds, Ricochet Rounds","Outlaw, Mulligan","Demolitionist, Swashbuckler, Kill Clip",Stability,PvP
,,,,,,,,,
Zealot's Reward,Fusion Rifle,Rapid-Fire,Void,"Fluted Barrel, Corkscrew Rifling, Smallbore","Enhanced Battery, Liquid Coils, Ionized Battery","Feeding Frenzy, Auto-Loading Holster","Disruption Break, Rampage, Backup Plan",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator, Extended Barrel","Particle Repeater, Liquid Coils, Projection Fuse","Feeding Frenzy, Auto-Loading Holster","Disruption Break, High-Impact Reserves",Range or Stability,PvP
,,,,,,,,,
,,,,,,,,,
Altar of Sorrow and Pit Of Heresy,,,,,,,,,
Blasphemer,Shotgun,Precision - Slug,Kinetic,"Fluted Barrel, Chambered Compensator, Smallbore","Assault Mag, Tactical Mag, Appended Mag","Outlaw, Auto-Loading Holster","Swashbuckler, Triple Tap, Rampage",Reload,PvE
,,,,"Smallbore, Hammer-Forged Rifling","Assault Mag, Light Mag",Quickdraw,"Opening Shot, Swashbuckler",Reload,PvP
,,,,,,,,,
Apostate,Sniper Rifle,Rapid-Fire,Arc,"Fluted Barrel, Arrowhead Brake, Smallbore","Tactical Mag, Appended Mag, Extended Mag",Outlaw,"Box Breathing, Rapid Hit, Multikill Clip",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling","Accurized Rounds, Tactical Mag","Outlaw, Moving Target, Firmly Planted","Quickdraw, Snapshot Sights, Box Breathing",Range or Handling,PvP
,,,,,,,,,
Premonition,Pulse Rifle,High-Impact,Void,"Arrowhead Brake, Fluted Barrel, Chambered Compensator","Appended Mag, Extended Mag",Outlaw,"Demolitionist, Kill Clip, Dragonfly",Reload,PvE
,,,,"Fluted Barrel, Hammer-Forged Rifling, Smallbore","High-Caliber Rounds, Ricochet Rounds","Firmly Planted, Rangefinder, Outlaw","Demolitionist, Kill Clip",Range or Stability,PvP
,,,,,,,,,
Heretic,Rocket Launcher,Aggressive,Arc,"Quick Launch, Smart Drift Control, Hard Launch","Impact Casing, Alloy Casing",Demolitionist,"Cluster Bomb, Kill Clip, Quickdraw",Reload,PvE
,,,,"Volatile Launch, Confined Launch, Linear Compensator",Black Powder,Demolitionist,"Cluster Bomb, Quickdraw",Blast Radius,PvP
,,,,,,,,,
,,,,,,,,,
Season Pass / Event,,,,,,,,,
Braytech Warewolf,Auto Rifle,Precision,Kinetic,"Fluted Barrel, Chambered Compensator, Extended Barrel","Appended Mag, Extended Mag","Triple Tap, Outlaw, High-Impact Reserves","Kill Clip, Quickdraw",Reload,PvE
,Festival of the Lost,,,"Chambered Compensator, Extended Barrel, Smallbore","Ricochet Rounds, High-Caliber Rounds","Tap the Trigger, Dynamic Sway Reduction, Outlaw","Quickdraw, Kill Clip",Stability or Range,PvP
,,,,,,,,,
Pluperfect,Pulse Rifle,High-Impact,Kinetic,"Fluted Barrel, Corkscrew Rifling, Smallbore","Appended Mag, Extended Mag","Outlaw, Underdog, Zen Moment","Rampage, Kill Clip, High-Impact Reserves",Reload,PvE
,,,,"Extended Barrel, Chambered Compensator, Smallbore","High-Caliber Rounds, Ricochet Rounds","Zen Moment, Rangefinder, Outlaw","Dynamic Sway Reduction, Kill Clip, Mulligan",Handling,PvP
,,,,,,,,,
Temporal Clause,Machine Gun,Rapid-Fire,Void,"Fluted Barrel, Arrowhead Brake, Corkscrew Rifling","Appended Mag, Extended Mag, Flared Magwell","Quickdraw, Autoloading Holster","Surrounded, Rampage",Reload,PvE
,,,,"Arrowhead Brake, Chambered Compensator","High-Caliber Rounds, Ricochet Rounds, Light Mag","Quickdraw, Firmly Planted","Rangefinder, Eye of the Storm",Stability or Range,PvP
